numStages,elapsedTime,executorRunTime,executorCpuTime,peakExecutionMemory,numNodes,numEdges,datasetSize,graphType
16,60183,279896,115657,2694,12031,71630973,693.5823526382446,erdos
16,64082,213796,80505,2265,10528,49278147,464.75814628601074,erdos
16,223332,733812,337456,3453,14224,91211309,907.9485902786255,erdos
16,64741,354984,148802,3407,12685,87428443,854.496319770813,erdos
16,59641,273624,106816,2519,12157,68122947,660.8529357910156,erdos
16,212874,705872,344551,4158,14737,90294367,903.5020685195923,erdos
16,54745,280055,122666,2635,13209,76270990,750.4894971847534,erdos
16,57473,373734,153486,4360,13902,94623948,938.6508836746216,erdos
16,64711,335693,143561,3755,13010,81483349,799.7905902862549,erdos
16,197468,485459,215138,2717,13001,78672656,772.1026601791382,erdos
16,65885,390587,147839,4128,13577,89648752,886.0312881469727,erdos
16,207974,864890,425009,4097,13110,88989753,874.5682764053345,erdos
16,57557,200867,78769,1741,10175,50522034,472.96276473999023,erdos
16,63837,323560,130649,3624,12537,78724314,767.8662595748901,erdos
16,60036,301339,126381,3038,11819,76164774,735.0829544067383,erdos
16,69410,315592,125406,3321,11627,72098395,693.7051000595093,erdos
16,60842,219231,83591,1815,10158,52684598,493.0213565826416,erdos
16,57907,235878,99676,2110,11327,61201641,585.9048452377319,erdos
16,58130,204456,87386,1910,10554,55422835,522.9830150604248,erdos
16,60784,307359,130762,2613,12872,75636921,741.0787057876587,erdos
16,57763,318362,132367,3488,13144,82492462,811.0464582443237,erdos
16,60457,169627,70623,1444,10004,41870433,390.4762849807739,erdos
16,250943,1182225,537250,4491,14176,106724545,1061.830174446106,erdos
16,63090,256566,103937,2079,10683,60284269,570.3164968490601,erdos
16,65072,202289,75344,2086,10141,45372737,424.44223976135254,erdos
16,62544,395019,151237,3463,13115,91687447,901.1296377182007,erdos
16,263020,1113444,516303,4472,14141,106309636,1057.3083229064941,erdos
16,204538,694628,331259,4140,14796,95822354,959.3554363250732,erdos
16,63708,285227,113809,2541,11549,68670456,659.8693895339966,erdos
16,57132,234177,97650,2083,10819,60402772,572.946418762207,erdos
16,59868,374873,151951,3333,14012,88094334,874.9311323165894,erdos
16,235567,949393,460213,5225,14982,113446078,1137.8332901000977,erdos
16,58259,349639,138171,3971,13279,86238278,849.3051719665527,erdos
16,61340,230513,87741,2555,10129,55630544,520.2575998306274,erdos
16,65111,281683,118335,2735,12853,69434891,680.1434917449951,erdos
16,63186,321989,130733,3692,13092,80147402,787.4890956878662,erdos
16,52783,196547,84966,1847,11457,53554736,513.8306512832642,erdos
16,61141,334318,144301,3093,13867,83303150,826.0462598800659,erdos
16,158890,349349,149201,1935,10054,42078497,392.8604040145874,erdos
16,61412,238075,95922,2564,11479,55636125,533.9962873458862,erdos
16,248524,1089901,513098,4887,14085,106066804,1054.2587003707886,erdos
19,226696,448849,204854,4352,13972,91529660,908.6571283340454,erdos
16,65794,255614,111503,2058,10587,58388137,551.3306951522827,erdos
16,63426,222234,97019,1783,10659,51736479,489.2223882675171,erdos
16,60140,262516,102789,2434,12710,66105297,646.3053035736084,erdos
16,60988,227976,91350,1934,10421,56067720,527.632022857666,erdos
16,288350,1166203,537360,4787,14086,103977025,1033.4992561340332,erdos
16,61334,306817,127557,2616,12858,75749655,742.0451583862305,erdos
16,62631,372608,156536,3892,14068,90809042,902.4438333511353,erdos
16,61926,341401,147173,3864,13244,83868026,825.6015911102295,erdos
16,60144,250242,104519,2295,10735,62055645,587.675371170044,erdos
16,64193,258817,101433,2254,12018,65270613,631.871205329895,erdos
16,58507,264051,116170,3131,11831,67954009,655.9612646102905,erdos
16,62676,401520,157644,4242,14702,92070814,920.9638538360596,erdos
16,59769,215291,85853,1831,10486,53117221,500.5357036590576,erdos
16,60538,304002,127134,2664,13315,77115056,759.778413772583,erdos
16,59749,228905,89686,2101,10654,55947286,528.9876403808594,erdos
16,62654,243733,107727,2188,10488,57875053,545.3947668075562,erdos
16,215714,586118,259822,4233,13531,91922562,908.0158166885376,erdos
16,61282,302434,130162,3456,11913,75076412,725.6314220428467,erdos
16,245098,1071055,439003,5576,14964,121028466,1213.6653633117676,erdos
16,61528,263247,102630,2886,12439,62699404,610.7191905975342,erdos
16,51924,109423,47170,1393,8548,30301617,281.47009468078613,erdos
16,32949,59675,28909,820,5939,17812985,163.5264654159546,erdos
16,29237,51714,25187,358,5833,15567766,142.81655597686768,erdos
16,59933,185612,74158,2092,10243,45509257,426.6671886444092,erdos
16,45872,86590,37922,867,7089,25159084,232.4208860397339,erdos
16,60504,266229,109894,2283,11507,66125183,634.9694719314575,erdos
16,66806,207590,75451,1566,10568,45421092,428.7265100479126,erdos
16,30218,53425,24723,719,5470,15646626,143.16379642486572,erdos
16,67320,203748,78816,2026,10077,44071958,411.6832790374756,erdos
16,21771,37643,19048,376,5060,10909039,99.47195339202881,erdos
16,27839,49315,23489,680,5412,14801317,135.36585330963135,erdos
16,61106,189227,78728,2076,9721,45154252,420.7885322570801,erdos
16,36593,67528,30667,695,6710,20153845,185.84530067443848,erdos
16,53480,121390,53655,1528,8543,33223140,308.60769844055176,erdos
16,42667,79009,36235,1127,6964,24515253,226.34292125701904,erdos
16,34029,60308,32755,979,6431,21284613,195.97809600830078,erdos
16,42048,77716,33797,784,8083,22758922,211.05812454223633,rgg
16,17884,29531,15285,284,5059,8223866,74.9816312789917,rgg
16,52483,122906,50731,1540,9510,33514575,312.16840076446533,rgg
16,26004,45704,22764,404,7237,13975686,129.1654510498047,rgg
16,52394,127309,55513,1550,12080,33705876,326.591854095459,rgg
16,60133,239067,93905,2739,12664,59599728,582.3789405822754,rgg
16,54851,120617,52004,1473,10707,32027741,303.27700328826904,rgg
16,58340,170464,72991,1932,11039,42049583,400.42821502685547,rgg
16,21800,37576,20030,378,6080,10941508,100.51976871490479,rgg
16,64736,239032,93758,2546,12916,55371901,542.8182744979858,rgg
20,51776,96924,45987,965,9451,28004760,260.918869972229,rgg
16,52837,106208,45597,1331,9485,28946788,269.58127212524414,rgg
20,58589,168351,67268,1463,12383,42394754,412.62878608703613,rgg
16,19787,33425,17488,237,5467,10331261,94.48920249938965,rgg
16,63309,191934,69491,1519,11856,44021425,425.06507205963135,rgg
16,43239,79994,37770,903,8582,26178377,243.13876152038574,rgg
