numStages,elapsedTime,executorRunTime,executorCpuTime,peakExecutionMemory,numNodes,numEdges,datasetSize,graphType
8,197147,530003,288540,1649,12031,71630973,693.5823526382446,erdos
6,119476,440897,210554,1132,10528,49278147,464.75814628601074,erdos
6,375103,1477558,617285,2100,14224,91211309,907.9485902786255,erdos
8,373901,1228693,570354,2012,12685,87428443,854.496319770813,erdos
6,103774,512054,271904,1569,12157,68122947,660.8529357910156,erdos
6,356370,1491642,653856,2078,14737,90294367,903.5020685195923,erdos
6,279582,965408,474201,1756,13209,76270990,750.4894971847534,erdos
6,384483,1612005,651665,2178,13902,94623948,938.6508836746216,erdos
6,286911,1075479,502317,1876,13010,81483349,799.7905902862549,erdos
6,274443,939799,475666,1810,13001,78672656,772.1026601791382,erdos
17,971387,2989837,1532767,1916,13577,89648752,886.0312881469727,erdos
8,344420,1099961,576718,2049,13110,88989753,874.5682764053345,erdos
6,125377,469378,203202,1160,10175,50522034,472.96276473999023,erdos
8,246401,661415,343660,1812,12537,78724314,767.8662595748901,erdos
8,330687,775872,361984,1753,11819,76164774,735.0829544067383,erdos
8,266032,710848,363749,1659,11627,72098395,693.7051000595093,erdos
6,124827,468244,216695,1210,10158,52684598,493.0213565826416,erdos
6,131839,554937,254316,1406,11327,61201641,585.9048452377319,erdos
6,245137,548163,282959,1272,10554,55422835,522.9830150604248,erdos
8,290947,742294,406302,1740,12872,75636921,741.0787057876587,erdos
8,236074,709025,375109,1900,13144,82492462,811.0464582443237,erdos
6,137739,402397,167366,961,10004,41870433,390.4762849807739,erdos
6,434934,2126912,883582,2458,14176,106724545,1061.830174446106,erdos
6,128382,516107,248722,1385,10683,60284269,570.3164968490601,erdos
6,131474,452514,196889,1042,10141,45372737,424.44223976135254,erdos
6,451644,1816030,664625,2109,13115,91687447,901.1296377182007,erdos
6,409431,1958727,865216,2449,14141,106309636,1057.3083229064941,erdos
8,247743,973509,496504,2207,14796,95822354,959.3554363250732,erdos
8,239524,645807,340631,1582,11549,68670456,659.8693895339966,erdos
6,114558,489676,248171,1387,10819,60402772,572.946418762207,erdos
13,640497,1931207,1063319,2029,14012,88094334,874.9311323165894,erdos
12,836178,2617190,1412077,2613,14982,113446078,1137.8332901000977,erdos
8,291152,992136,533170,1986,13279,86238278,849.3051719665527,erdos
6,138836,502728,235201,1277,10129,55630544,520.2575998306274,erdos
6,115056,558412,287091,1598,12853,69434891,680.1434917449951,erdos
8,254687,835679,425619,1846,13092,80147402,787.4890956878662,erdos
6,134290,518335,222597,1230,11457,53554736,513.8306512832642,erdos
6,285198,1226493,526815,1918,13867,83303150,826.0462598800659,erdos
6,141537,409158,174561,966,10054,42078497,392.8604040145874,erdos
6,132935,494735,238249,1282,11479,55636125,533.9962873458862,erdos
6,432785,2062469,856814,2443,14085,106066804,1054.2587003707886,erdos
8,379425,1284616,661247,2106,13972,91529660,908.6571283340454,erdos
6,125931,529171,235776,1341,10587,58388137,551.3306951522827,erdos
6,127892,480110,215287,1188,10659,51736479,489.2223882675171,erdos
6,153814,636045,303871,1521,12710,66105297,646.3053035736084,erdos
6,127803,521375,235553,1288,10421,56067720,527.632022857666,erdos
6,465265,2165095,908850,2394,14086,103977025,1033.4992561340332,erdos
8,223872,709920,376691,1744,12858,75749655,742.0451583862305,erdos
6,331509,1242336,519826,2091,14068,90809042,902.4438333511353,erdos
8,298968,866047,465356,1932,13244,83868026,825.6015911102295,erdos
